(4.81,1.55)
(7.40,7.27)
(5.89,1.82)
(6.03,1.67)
(8.69,6.65)
(1.29,2.75)
(3.14,6.04)
(2.19,3.21)
(1.99,0.12)
(3.81,7.66)
(5.40,0.37)
(8.91,5.89)
(5.28,5.51)
(6.19,4.65)
(8.73,6.76)
(5.04,6.00)
(5.39,6.65)
(6.61,5.22)
(7.92,3.34)
(1.58,1.56)
(5.48,6.67)
(2.13,0.99)
(7.35,0.16)
(5.83,5.38)
(7.76,0.85)
(8.18,1.15)
(3.08,4.17)
(7.06,0.53)
(4.68,4.87)
(4.82,4.21)
(6.57,2.21)
(8.36,3.92)
(3.20,5.15)
(4.56,4.21)
(5.04,1.01)
(6.08,3.84)
(8.75,2.34)
(8.47,2.12)
(3.46,7.57)
(6.35,7.04)
(6.39,2.02)
(8.03,1.54)
(6.94,7.64)
(7.65,3.08)
(3.31,5.44)
(3.15,3.55)
(4.92,6.00)
(3.04,7.71)
(4.50,6.59)
(3.77,3.03)
(5.18,2.21)
(8.19,6.52)
(5.28,1.99)
(6.79,6.14)
(8.30,3.09)
(4.01,0.25)
(7.08,6.60)
(5.56,6.51)
(1.44,4.12)
(2.88,5.38)
(2.08,0.32)
(7.46,5.02)
(8.98,2.01)
(6.45,7.21)
(3.28,4.83)
(1.41,4.90)
(4.91,5.75)
(1.59,4.61)
(7.21,6.19)
(8.72,6.81)
(4.82,4.02)
(2.96,6.24)
(3.86,6.40)
(3.39,0.22)
(7.34,6.09)
(7.20,1.65)
(5.37,6.81)
(5.77,5.68)
(1.49,0.33)
(8.91,3.88)
(2.13,1.80)
(6.12,2.03)
(3.08,4.89)
(7.89,6.57)
(4.15,0.46)
(3.83,6.87)
(4.22,5.44)
(4.21,7.45)
(5.48,1.78)
(3.58,4.82)
(1.59,0.50)
(8.67,5.39)
(2.27,0.33)
(4.94,3.09)
(1.20,0.46)
(5.35,2.35)
(3.51,1.71)
(1.26,1.39)
(6.74,5.48)
(7.92,6.76)
(1.52,1.21)
(4.16,7.06)
(1.23,0.58)
(6.50,6.79)
(8.87,1.97)
(7.70,3.83)
(3.34,3.64)
(1.14,7.03)
(7.24,5.55)
(5.18,2.41)
(7.33,6.96)
(8.78,1.95)
(2.13,1.85)
(2.27,1.59)
(4.84,6.10)
(4.69,6.74)
(3.76,7.05)
(7.91,4.99)
